Product Name,Code,Batch No,"MFI (gm/10min)
(min)","MFI (gm/10min)
(max)","Density
(gm/cc)
(min)","Density
(gm/cc)
(max)","Ash Content
(%)
(min)","Ash Content
(%)
(max)","Moisture
(%)","TS @ yield(MPa)
(min)","TS @ yield(MPa)
(max)","El@yl ( % )
(min)","El@yl ( % )
(max)","Flexural Modulus(MPa)
(min)","Flexural MS(MPa)
(max)","Flexural Strength @ PL(MPa)
(min)","FS @ PL(MPa)
(max)",Izod imp(J/m)(min),"500
(min)","500
(max)",Izod imp(J/m)(max),Flammability @3.2 mm (Rating),"Flammability
(thickness (mm))","HDT 
(Min) ( °C )","HDT
(max) (°C)",Glow Wire Test @ 3.2mm (°C),"Glow Wire Test
thickness (mm)","El@Brk ( % )
(min)","El@Brk ( % )
(max)",Remark,Rev. No.,COLOR,"Mould Shrinkage, Linear(%)",Water Absorption(%),"Un-Notched Izod Impact Strength @ 23°C, 3.2 mm		","Melting Point(°C)
(min)","Un-annealed, HDT @ 0.455 MPa	",Vicat Softening Point,Coefficient of Linear Thermal Expansion                ,Comparative Tracking Index,Dielectric Strength(KV/mm),Dielectric Constant(Unit Less),Volume Resistivity (Ohm.cm),Surface Resistivity(Ohm),Drying Temperature Dehumidified dryer(°C),Drying Time(Hrs),Rear Temperature(°C),Middle Temperature(°C),Front Temperature,Nozzle Temperature(°C),Mold Temperature(°C),MFI TEST CONDITION,"Mould Shrinkage, transverse","Tensile Strength at Yield, TEST CONDITION","Tensile Modulus, TEST CONDITION",Elongation at Yield TEST CONDITION,Flexural Strength TEST CONDITION,Flammability @0.8,Flammability @1.6,GWT @0.8,GWT @1.6,L (min),a (min),b (min),Issue Date,L (max),a (max),b (max),,ROHS,REACH,Halogen Free,Long Cut,Color Variation (Black Spot Free),Finish (Shine/Dull),Recycle Content Type (PIR/PCR),PIR %tage,PCR %tage,Yellow Card,Phosphorus Free,Persistent organic pollutants (POP),Aesthetic function,Railway fire smoke requirements (EN45545),Friction resistance,"Fatigue resistance  {ISO 13003 (flexure fatigue),ISO 15850 (delamination)}",Ozone resistance,Chemical resistance ,Laser printing,Pad printing,Labelling ,"Welding Precise mode (laser, ultrasonic, ..)",Delta E,Transmittance,GWT or UL Seconds
ZiLITE™ 20% GF CFL PBT White,730C2091L,,20,30,1.54,1.58,24,28,0.2,75,85,5,9,"4,000.00","6,000.00",135,145,50,,,,-,-,170,180,-,-,-,-,-,Rev. No. 01,White,0.5,0.25,,225 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg,0.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,93.63,-0.74,-2.53,7/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
PiCAN™ UF PC White,750C0093,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,White,,,,,,,,,,,,,80 - 100,4-Feb,230 - 240,240 - 250,250 - 260,270 - 290,80 - 120,300°C/1.2kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
PiCAN™ UF PC White,750C0091,,10,20,1.18,1.22,,2,0.2,50,70,6,10,"2,000.00","3,000.00",90,110,150,,,,V2,3.2,119,129,-,-,-,-,-,Rev. No. 00,White,0.7,0.25,-,-,-,-,-,-,-,-,-,-,80 - 100,4-Feb,230 - 240,240 - 250,250 - 260,270 - 290,80 - 120,300°C/1.2kg,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,28/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
PiCAN™ UF PC Black,750C0001,,13,19,1.18,1.2,,1,0.15,50,70,7,11,"2,000.00","3,000.00",90,110,500,,,,V2,3.2,119,129,960,2,,,,Rev. No. 00,Black,0.7,0.25,,,,-,-,-,-,,-,-,80 - 100,4-Feb,230 - 240,240 - 250,250 - 260,270 - 290,80 - 120,300°C/1.2kg,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,28/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
PiCAN™ Unfilled FR PC Black,750C0001F,,8,12,1.17,1.21,,1,0.15,60,70,6,10,"2,500.00","3,500.00",80,100,800,,,,V0,3.2,120,130,,,,,,Rev. No. 00,Black,0.7,0.25,,,-,-,-,-,-,-,-,-,80 - 120,4-Feb,230 - 240,240 - 250,250 - 260,270 - 280,70 - 100,300°C/1.2kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZiLITE™ 20% GF CFL PBT White,730C2093AL,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,White,,,,,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
ZiLITE™ 20% MF PBT NATURAL,730C2231,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,NATURAL,,,,,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 5% GF FR PA6 Black,710C1001F,,15,35,1.22,1.26,3,7,0.2,70,90,6,10,"2,500.00","4,500.00",115,145,50,,,,V1,3.2,150,160,960,3.2,,,,Rev. No. 00,Black,0.5,1,,220 ± 5,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,29/5/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
eCiLON™ 40% GF PA6 Black,711C4001,,20,40,1.41,1.45,38,42,0.15,120,140,5,9,"5,500.00","6,500.00",185,215,100,,,,,,205,215,,,,,,Rev. No. 00,Black,0.3,1,,220 ± 5,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,PCR,,55,,,,,,,,,,,,,,,,
CiLON™ 40% GF FR PA6 Black,711C4001F,,15,35,1.48,1.52,38,42,0.2,140,160,5,9,"8,000.00","12,000.00",210,230,70,,,,V0,3.2,210,220,,,,,,Rev. No. 00,Black,0.3,1,,220 ± 5,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,18/8/2022,,,,,,,,,,,PCR,,55,,,,,,,,,,,,,,,,
CiLON™ 40% GF PA6 Black,710C4001,,5,15,1.41,1.45,38,42,0.2,140,160,5,9,"5,500","7,500",225,255,140,,,,,,205,215,,,,,,Rev. No. 01,Black,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,19/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 40% GF PA6 Natural,710C4031,,7,13,1.42,1.46,39,41,0.2,180,190,4.5,6.5,"9,500.00","11,500.00",275,305,180,,,240, -, -,210,220, -,3.2,,,,Rev. No. 02,Natural,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275 °C/2.16kg, - ,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 20% GF FR PA6 BLACK,710C2003F,,14,30,1.38,1.42,18,22,0.15,100,120,6,10,"3,800.00","4,800.00",170,190,100,,,150,V0,3.2,180,190,960,3.2,,,,Rev. No. 00,BLACK,0.4,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,1/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ZiLITE™ 50% GF PBT/PET Black,740C5001,,2,8,1.7,1.74,48,52,0.2,120,140,5,9,"8,000.00","9,000.00",210,240,120,,,,-,,200,210,,,,,,Rev. No. 00,Black,0.3,0.25,,220 ± 5,,-,-,600,-,-,1.00E+15,1.00E+12,100 - 140,4-Feb,230 - 240,240 - 250,250 - 260,260 - 280,80 - 110,265°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,25/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 20% GF FR PA6 GREY,710C2083F,,15,25,1.34,1.38,18,22,0.2,80,100,5,9,"3,000.00","5,000.00",150,170,60,,,,V2,1.5,180,200,,,,,,Rev. No. 01,RAL7035 Grey,0.6,1,,220 ± 2,,,,,,,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg,0.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,7/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 20% GF FR PA6 RAL7012 Grey,710C2084F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220 ± 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 20% GF FR PA6 RAL7016 Grey,710C2085F,,10,30,1.26,1.3,18,22,0.2,80,100,4,8,"5,000.00","7,000.00",140,160,50,,,,V0,3.2,180,190,960,3.2,,,,Rev. No. 00,RAL7016 Grey,0.4,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,27/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 30% GF FR PA6 GREY,710C3085F,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,GREY,0.3,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
ZiLITE™ 20% MF PBT/PET GREY,740C2182,,15,25,1.44,1.48,18,22,0.2,45,55,4,8,"3,000.00","5,000.00",80,100,40,,,,-,3.2,85,95,,,,,,Rev. No. 00,Dark Grey,1.4,0.25,-,-,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 270,70 - 90,250°C/2.16kg,1.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,25/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
ZiLITE™ 20% GF CFL White PBT,730C2093AO,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,White,,,,,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
ZiLITE™ Unfilled PBT Natural,730C0033,,41,47,1.28,1.32,,0.5,0.2,50,60,7,11,"1,700.00","2,100.00",70,90,70,,,,,-,60,70,,-,,,,Rev. No. 00,Natural,3,0.25,,225 ± 2,125 ± 5,-,-,600,-,-,1.00E+15,1.00E+12,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg,3.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,25/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZiLITE™ UF PBT Natural,730C0034,,10,16,1.28,1.32,,1,0.2,50,60,6,10,"1,700.00","2,200.00",80,100,60,,,,,,65,75,,,,,,Rev. No. 00,Natural,2.2,0.25,-,225 ± 2,,,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg,2.2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,23/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ 30% GF PA6 BLUE,710C3065,,10,30,1.32,1.36,28,32,0.2,130,150,6,10,"5,000.00","9,000.00",200,240,80,,,,HB ,3.2,195,205,,,,,,Rev. No. 01,Blue,0.4,1,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.4,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,30.61,5.44,-25.65,7/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ UF PA6 BLACK,710C0004,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Black,,,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZiLITE™ 20% GF FR PBT WHITE,730C2093F,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,White,,,,,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 20% GF FR PA6 NATURAL,710C2032F,,10,20,1.39,1.43,18,22,0.2,110,140,6,10,"3,500.00","4,500.00",185,215,100,,,,V0,3.2,185,195,960,3.2,,,,Rev. No. 01,Natural,0.4,1.1,,220 ± 2,200 ± 5,,,600,,,1.00E+14,1.00E+12,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V2,V0,960,960,,,,25/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
CiLON™ 43% GF PA66 NATURAL,720C4031,,5,15,1.46,1.5,41,45,0.2,185,205,6,10,"9,000.00","13,000.00",320,350,170,,,,,3.2,240,250,,,,,,Rev. No. 00,Natural,0.3,1,,260 ± 3,,,,,,,,,80 - 100,4-Feb,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,0.3,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,20/5/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiLON™ UF High Gloss PA6 White,710D0092,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Gloss  White,,,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
CiLON™ 30% GF FR PA6 Black,710C3003F,,13,23,1.44,1.48,33,37,0.2,140,160,5,9,"7,000","10,000",220,240,100,-,-,-,V0,3.2,198,208,960,3.2,-,-,-,Rev. No. 00,Black,0.3,1,-,220 ± 2,-,-,-,>550,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V0,V0,-,-,28.47,-0.01,-0.38,20/02/2024,28.67,-0.1,-0.58,-,,,,Long Cut Free,Black Spot Free,Shine,,,,,,,,,,,,,,,,,,,3
CiLON™ 30% GF FR PA66 Red Phosphorus,720C3001F,,5,15,1.36,1.4,28,32,0.2,135,155,3,7,"5,000.00","9,000.00",215,235,100,,,,V0,3.2,225,245,960,3.2,,,,Rev. No. 01,Black,0.3,1,,260 ± 3,,,,> 550,,-,1.00E+15,1.00E+13,80 - 100,4-Feb,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,0.3,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,V0,,960,,,,19/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ Unfilled PP White,500C0091,,5,15,0.89,0.93,,1,0.15,25,35,8,12,800,"1,800.00",30,40,100,-,-,-,-,-,50,60,-,-,-,-,-,Rev. No. 00,White,1.8,1,-,160 ± 3,-,-,-,-,-,-,-,-,80 - 100,4-Feb,160 - 170,170 - 180,190 - 190,190 - 200,60 - 80,230°C/2.16,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,21/12/2023,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,0.5,,
eCiLON™ 50% GF PA6 Black,711C5001,,5,15,1.48,1.52,48,52,0.2,140,160,6,10,"6,500.00","7,500.00",230,270,150,,,,,,210,220,,,,,,Rev. No. 01,Black,0.2,0.4,,220 ± 5,,,,,,,,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,25/10/2021,,,,,,,,Long Cut Free,Black Spot Free,Shine,PCR,,45,,,,,,,,,,,,,,,,
eCiLON™ 30% GF PA6 Black,711C3001ML,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Black,,,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,PCR,,65,,,,,,,,,,,,,,,,
eCiLON™ 35% GF PA6 Black,711C3006HF,,30,40,1.34,1.38,33,37,0.15,125,145,6,10,"5,000.00","6,000.00",190,215,95,,,,Non FR,3.2,205,215,,,,,,Rev. No. 00,Black,0.3,,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,21/10/2021,,,,,,,,,,,PCR,,65,,,,,,,,,,,,,,,,
eCiLON™ 10% GF PA6 Black,711C1003,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Black,,,,220 ± 2,,,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,PCR,,65,,,,,,,,,,,,,,,,
